Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2015,CHI,13,2015-07-12,1,CON,W,96,76,38,67,.567,9,18,.500,11,13,.846,9,31,26,4,5,10,16,28,62,.452,6,20,.300,14,20,.700,4,19,21,9,2,9,15
2015,CHI,14,2015-07-15,1,WAS,W,85,57,38,83,.458,3,13,.231,6,8,.750,15,46,18,6,12,8,13,23,70,.329,2,10,.200,9,13,.692,9,32,14,4,5,14,15
2015,CHI,15,2015-07-17,0,MIN,L,66,84,26,73,.356,2,16,.125,12,15,.800,10,40,13,2,6,12,17,33,74,.446,7,13,.538,11,13,.846,9,44,17,5,6,10,17
2015,CHI,16,2015-07-19,1,SAS,W,93,82,40,74,.541,5,12,.417,8,11,.727,14,37,18,5,9,12,18,32,67,.478,6,13,.462,12,15,.800,5,21,17,4,3,9,10
2015,CHI,17,2015-07-21,1,ATL,W,97,92,32,65,.492,5,11,.455,28,32,.875,9,33,11,7,9,15,17,37,71,.521,6,11,.545,12,16,.750,7,25,20,9,8,14,23
2015,CHI,18,2015-07-28,0,PHO,L,87,89,33,86,.384,4,16,.250,17,20,.850,13,43,13,7,5,12,22,32,70,.457,4,13,.308,21,23,.913,7,35,15,9,10,13,23
2015,CHI,19,2015-07-31,1,LAS,L,77,88,28,67,.418,2,11,.182,19,21,.905,8,31,20,3,6,9,20,32,66,.485,3,9,.333,21,25,.840,7,33,17,7,7,6,15
2015,CHI,20,2015-08-02,1,WAS,W,71,68,27,69,.391,4,13,.308,13,15,.867,9,42,19,1,7,6,18,25,70,.357,5,16,.313,13,15,.867,10,38,17,4,10,5,17
2015,CHI,21,2015-08-04,1,IND,W,106,82,43,68,.632,5,10,.500,15,20,.750,7,39,28,10,13,14,23,26,75,.347,10,20,.500,20,25,.800,12,29,19,9,1,13,17
2015,CHI,22,2015-08-07,1,NYL,L,63,77,20,67,.299,2,11,.182,21,24,.875,5,33,6,6,7,13,20,27,65,.415,6,16,.375,17,24,.708,6,43,15,7,4,14,21
2015,CHI,23,2015-08-09,1,PHO,W,74,64,27,78,.346,7,19,.368,13,15,.867,13,43,13,4,5,7,17,25,66,.379,2,15,.133,12,16,.750,7,37,22,4,7,9,15
2015,CHI,24,2015-08-11,0,NYL,L,63,84,29,70,.414,2,8,.250,3,5,.600,8,31,14,6,3,17,15,33,65,.508,6,11,.545,12,14,.857,7,35,21,9,2,14,15
2015,CHI,25,2015-08-14,0,SEA,W,94,84,34,74,.459,2,8,.250,24,28,.857,14,38,14,5,7,6,19,29,60,.483,5,13,.385,21,28,.750,7,31,19,5,1,11,23
2015,CHI,26,2015-08-16,0,LAS,L,64,76,23,71,.324,5,14,.357,13,20,.650,14,41,11,7,3,9,18,30,62,.484,3,9,.333,13,16,.813,4,34,18,7,1,11,15
2015,CHI,27,2015-08-21,1,WAS,W,87,85,37,79,.468,4,13,.308,9,12,.750,15,45,21,6,6,15,14,37,73,.507,3,17,.176,8,10,.800,4,27,26,9,5,12,21
2015,CHI,28,2015-08-23,0,WAS,W,66,64,24,62,.387,2,8,.250,16,23,.696,10,33,6,4,10,15,24,22,66,.333,6,20,.300,14,18,.778,10,32,13,6,6,16,22
2015,CHI,29,2015-08-29,0,ATL,W,98,96,37,70,.529,5,10,.500,19,26,.731,11,31,21,2,2,10,27,33,74,.446,2,14,.143,28,37,.757,15,33,11,7,5,6,20
2015,CHI,30,2015-08-30,1,CON,L,68,72,27,72,.375,1,8,.125,13,18,.722,7,33,19,6,8,9,22,26,61,.426,4,16,.250,16,24,.667,9,38,17,6,7,15,21
2015,CHI,31,2015-09-03,0,NYL,W,82,60,29,67,.433,9,15,.600,15,16,.938,10,38,16,8,9,9,18,23,66,.348,0,7,.000,14,21,.667,11,36,12,6,4,11,14
2015,CHI,32,2015-09-06,1,SEA,W,93,65,38,72,.528,4,13,.308,13,14,.929,11,39,22,15,2,12,15,22,56,.393,6,14,.429,15,18,.833,5,26,16,7,2,21,12
2015,CHI,33,2015-09-11,1,TUL,W,92,71,35,72,.486,7,16,.438,15,21,.714,10,36,23,8,7,7,19,25,64,.391,4,16,.250,17,23,.739,13,36,12,3,5,15,19
2015,CHI,34,2015-09-13,0,CON,L,75,86,26,64,.406,6,17,.353,17,22,.773,13,36,16,2,7,14,19,31,74,.419,6,17,.353,18,23,.783,10,32,19,12,2,7,19
2015,CON,1,2015-06-05,1,WAS,L,68,73,24,71,.338,5,18,.278,15,17,.882,12,36,15,6,4,8,17,25,68,.368,6,22,.273,17,19,.895,15,41,16,2,6,9,18
2015,CON,2,2015-06-07,0,ATL,W,75,70,28,71,.394,7,21,.333,12,19,.632,8,25,14,18,3,11,24,25,68,.368,3,16,.188,17,18,.944,17,51,13,4,5,25,20
2015,CON,3,2015-06-11,1,CHI,W,67,65,26,67,.388,3,11,.273,12,18,.667,9,35,11,5,5,10,13,25,69,.362,0,6,.000,15,18,.833,10,39,7,6,3,11,20
2015,CON,4,2015-06-14,1,ATL,W,82,64,34,59,.576,9,17,.529,5,6,.833,6,26,17,13,0,23,16,26,64,.406,3,13,.231,9,12,.750,10,26,16,15,1,24,10
2015,CON,5,2015-06-16,0,SEA,W,79,58,28,65,.431,7,14,.500,16,18,.889,9,31,14,13,3,12,24,21,53,.396,2,11,.182,14,18,.778,4,26,12,6,6,22,18
2015,CON,6,2015-06-19,0,PHO,W,90,78,38,92,.413,4,18,.222,10,16,.625,20,47,16,12,2,13,22,28,73,.384,4,14,.286,18,25,.720,13,40,15,8,6,21,21
2015,CON,7,2015-06-21,0,LAS,W,76,68,28,65,.431,4,15,.267,16,21,.762,5,29,11,12,2,8,16,25,59,.424,6,16,.375,12,13,.923,7,31,15,3,1,16,18
2015,CON,8,2015-06-26,1,LAS,W,80,76,26,75,.347,3,16,.188,25,32,.781,15,35,12,13,3,12,19,29,66,.439,6,12,.500,12,13,.923,8,34,14,7,4,19,19
2015,CON,9,2015-06-30,1,IND,L,84,92,33,66,.500,7,18,.389,11,16,.688,5,21,20,13,2,10,20,31,56,.554,8,13,.615,22,26,.846,8,27,17,7,1,19,17
2015,CON,10,2015-07-02,1,CHI,L,74,77,30,74,.405,5,19,.263,9,10,.900,10,32,15,8,3,14,21,29,62,.468,5,14,.357,14,15,.933,8,28,9,9,2,15,13
2015,CON,11,2015-07-12,0,CHI,L,76,96,28,62,.452,6,20,.300,14,20,.700,4,19,21,9,2,9,15,38,67,.567,9,18,.500,11,13,.846,9,31,26,4,5,10,16
2015,CON,12,2015-07-14,1,MIN,L,79,85,31,69,.449,11,23,.478,6,10,.600,7,30,15,10,1,14,20,32,63,.508,4,11,.364,17,18,.944,7,31,22,9,5,15,10
2015,CON,13,2015-07-16,0,NYL,L,57,64,21,70,.300,7,19,.368,8,11,.727,7,32,13,5,5,15,20,21,61,.344,3,14,.214,19,27,.704,7,41,10,8,10,13,9
2015,CON,14,2015-07-19,0,WAS,L,82,89,32,74,.432,7,21,.333,11,14,.786,13,35,16,6,2,15,29,28,58,.483,7,15,.467,26,36,.722,6,28,23,9,4,12,14
2015,CON,15,2015-07-22,0,MIN,W,78,77,30,72,.417,9,22,.409,9,10,.900,13,39,16,9,3,15,20,29,75,.387,5,15,.333,14,17,.824,18,42,21,6,2,16,15
2015,CON,16,2015-07-28,1,IND,L,73,75,28,65,.431,5,20,.250,12,14,.857,7,31,19,7,7,18,17,33,81,.407,2,16,.125,7,9,.778,13,35,14,13,3,13,17
2015,CON,17,2015-07-31,1,SEA,W,67,66,24,63,.381,5,14,.357,14,22,.636,6,34,12,7,3,16,18,24,61,.393,2,9,.222,16,19,.842,6,35,12,8,2,15,16
2015,CON,18,2015-08-02,0,IND,L,70,83,25,55,.455,3,12,.250,17,27,.630,3,20,12,9,4,12,28,25,59,.424,5,12,.417,28,30,.933,14,37,17,7,1,13,21
2015,CON,19,2015-08-04,1,SAS,W,82,51,36,75,.480,6,20,.300,4,8,.500,12,41,24,9,3,17,12,23,55,.418,2,10,.200,3,7,.429,1,25,11,10,4,21,12
2015,CON,20,2015-08-07,1,WAS,W,86,72,35,65,.538,9,16,.563,7,10,.700,7,33,23,6,2,9,19,25,60,.417,6,20,.300,16,22,.727,7,23,14,4,4,11,17
2015,CON,21,2015-08-09,0,WAS,L,73,84,22,64,.344,5,18,.278,24,29,.828,10,29,10,8,1,8,26,25,51,.490,6,11,.545,28,33,.848,4,32,18,4,7,11,22
2015,CON,22,2015-08-12,1,TUL,W,80,74,31,73,.425,8,17,.471,10,11,.909,12,37,18,5,2,10,19,28,65,.431,3,12,.250,15,17,.882,6,32,12,6,4,13,15
2015,CON,23,2015-08-14,1,NYL,L,78,90,29,57,.509,8,18,.444,12,15,.800,2,25,18,7,2,17,16,37,73,.507,4,8,.500,12,14,.857,9,27,24,10,3,7,11
2015,CON,24,2015-08-16,0,ATL,L,77,90,27,68,.397,11,28,.393,12,14,.857,16,30,17,5,5,14,27,27,59,.458,5,11,.455,31,36,.861,10,29,16,11,2,12,15
2015,CON,25,2015-08-21,0,TUL,L,76,84,30,68,.441,8,25,.320,8,14,.571,13,34,14,5,3,14,20,29,68,.426,5,16,.313,21,26,.808,11,32,15,7,3,10,19
2015,CON,26,2015-08-23,1,ATL,L,92,102,34,70,.486,7,23,.304,17,23,.739,11,27,15,5,1,12,16,40,67,.597,11,14,.786,11,11,1.000,8,30,25,8,1,15,19
2015,CON,27,2015-08-25,0,ATL,L,57,71,19,63,.302,7,25,.280,12,14,.857,10,30,14,4,6,12,18,26,66,.394,6,15,.400,13,16,.813,13,44,18,4,4,9,18
2015,CON,28,2015-08-27,1,PHO,L,80,81,31,69,.449,7,16,.438,11,16,.688,8,25,16,7,1,8,23,28,56,.500,7,16,.438,18,22,.818,11,34,14,5,5,16,19
2015,CON,29,2015-08-29,1,NYL,L,66,80,27,58,.466,6,17,.353,6,10,.600,3,23,15,6,6,18,18,33,59,.559,2,9,.222,12,15,.800,5,30,17,10,2,15,12
2015,CON,30,2015-08-30,0,CHI,W,72,68,26,61,.426,4,16,.250,16,24,.667,9,38,17,6,7,15,21,27,72,.375,1,8,.125,13,18,.722,7,33,19,6,8,9,22
2015,CON,31,2015-09-01,0,IND,L,51,81,21,63,.333,3,17,.176,6,9,.667,7,26,13,8,3,16,17,31,65,.477,4,10,.400,15,15,1.000,9,39,12,10,2,15,12
2015,CON,32,2015-09-04,0,SAS,W,73,72,33,67,.493,3,13,.231,4,6,.667,7,34,20,6,6,8,13,28,68,.412,7,13,.538,9,11,.818,7,30,17,8,5,7,8
2015,CON,33,2015-09-09,0,NYL,L,64,74,23,66,.348,4,19,.211,14,17,.824,10,32,14,5,3,8,11,30,64,.469,6,13,.462,8,11,.727,10,44,15,4,1,12,18
2015,CON,34,2015-09-13,1,CHI,W,86,75,31,74,.419,6,17,.353,18,23,.783,10,32,19,12,2,7,19,26,64,.406,6,17,.353,17,22,.773,13,36,16,2,7,14,19
2015,IND,1,2015-06-05,0,CHI,L,72,95,26,66,.394,7,20,.350,13,23,.565,11,31,14,6,3,20,23,36,78,.462,1,7,.143,22,26,.846,15,44,22,14,9,11,22
2015,IND,2,2015-06-06,1,MIN,L,69,78,28,66,.424,4,15,.267,9,17,.529,7,31,11,8,4,12,24,24,62,.387,4,14,.286,26,31,.839,13,40,9,9,4,14,18
2015,IND,3,2015-06-09,0,NYL,L,79,86,24,64,.375,8,18,.444,23,25,.920,10,33,15,7,2,15,23,29,59,.492,5,12,.417,23,32,.719,7,27,23,7,7,12,18
2015,IND,4,2015-06-12,1,PHO,W,77,74,29,68,.426,3,7,.429,16,20,.800,13,39,6,8,3,15,23,24,69,.348,9,21,.429,17,21,.810,7,31,12,10,5,12,20
2015,IND,5,2015-06-14,1,CHI,L,72,98,23,73,.315,5,25,.200,21,32,.656,10,27,14,7,2,10,21,38,67,.567,5,10,.500,17,20,.850,7,46,19,7,11,15,26
2015,IND,6,2015-06-16,0,ATL,W,90,79,30,60,.500,9,19,.474,21,31,.677,10,34,23,8,4,18,23,31,69,.449,4,14,.286,13,20,.650,10,28,18,10,4,17,26
2015,IND,7,2015-06-19,0,NYL,W,80,63,27,66,.409,10,17,.588,16,19,.842,4,29,17,7,2,9,20,23,62,.371,4,15,.267,13,16,.813,11,37,13,5,1,16,21
2015,IND,8,2015-06-20,1,WAS,L,75,87,26,72,.361,5,20,.250,18,20,.900,12,29,18,10,0,13,23,31,60,.517,10,22,.455,15,19,.789,10,36,22,7,3,17,19
2015,IND,9,2015-06-26,1,CHI,L,77,83,25,57,.439,7,14,.500,20,26,.769,6,37,13,7,3,18,24,32,77,.416,5,15,.333,14,17,.824,11,37,16,10,5,9,18
2015,IND,10,2015-06-30,0,CON,W,92,84,31,56,.554,8,13,.615,22,26,.846,8,27,17,7,1,19,17,33,66,.500,7,18,.389,11,16,.688,5,21,20,13,2,10,20
2015,IND,11,2015-07-02,1,WAS,W,73,50,29,58,.500,1,4,.250,14,18,.778,8,32,10,11,4,7,18,17,58,.293,3,21,.143,13,15,.867,13,33,8,2,2,15,17
2015,IND,12,2015-07-08,1,SEA,W,88,65,36,72,.500,7,21,.333,9,11,.818,13,30,18,9,4,11,27,19,45,.422,5,17,.294,22,26,.846,4,28,12,4,4,19,17
2015,IND,13,2015-07-10,1,SAS,W,83,76,31,61,.508,2,8,.250,19,25,.760,3,28,12,8,5,10,23,28,66,.424,1,9,.111,19,26,.731,10,36,11,7,4,13,17
2015,IND,14,2015-07-15,1,TUL,W,83,80,28,61,.459,5,15,.333,22,34,.647,11,42,15,8,5,13,23,30,75,.400,6,21,.286,14,22,.636,14,40,14,8,6,12,31
2015,IND,15,2015-07-17,0,WAS,L,50,68,18,57,.316,7,18,.389,7,9,.778,7,34,15,6,2,17,24,27,70,.386,3,17,.176,11,14,.786,12,43,21,11,5,9,16
