Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,win_margin,Tm_poss,Opp_poss,Tm_off_rating,Tm_def_rating,Tm_tov_rate,Opp_tov_rate
2025,LAS,1,2025-05-16,0,GSV,W,84,67,29,63,0.46,7,19,0.368,19,21,0.905,3,27,19,16,4,11,14,23,63,0.365,9,35,0.257,12,13,0.923,9,33,13,8,2,20,16,17,80.24,79.72,104.68594217347957,84.04415454089312,0.1370887337986042,1.0
2025,LAS,2,2025-05-18,1,MIN,L,75,89,24,60,0.4,9,26,0.346,18,24,0.75,8,29,15,4,3,11,19,34,71,0.479,10,25,0.4,11,13,0.846,7,34,27,7,3,8,21,-14,73.56,77.72,101.95758564437195,114.51363870303655,0.14953779227841218,1.0
2025,LAS,3,2025-05-21,0,PHO,L,86,89,28,68,0.412,10,29,0.345,20,26,0.769,7,37,18,4,3,16,21,28,67,0.418,11,33,0.333,22,27,0.815,6,33,22,8,7,12,21,-3,88.44,84.88,97.24106739032112,104.85391140433553,0.18091361374943465,1.0
2025,LAS,4,2025-05-23,1,GSV,L,73,82,24,62,0.387,9,26,0.346,16,22,0.727,7,31,18,9,4,17,18,27,65,0.415,9,29,0.31,19,21,0.905,8,34,15,13,4,15,15,-9,81.68,81.24,89.37316356513222,100.93549975381586,0.20812928501469147,1.0
2025,LAS,5,2025-05-25,1,CHI,W,91,78,31,66,0.47,13,27,0.481,16,23,0.696,10,32,24,12,2,11,14,32,69,0.464,4,20,0.2,10,12,0.833,12,34,17,6,3,17,21,13,77.12,79.28,117.99792531120332,98.38546922300706,0.14263485477178423,1.0
2025,LAS,6,2025-05-27,1,ATL,L,82,88,30,67,0.448,8,19,0.421,14,17,0.824,8,28,23,12,1,13,19,30,64,0.469,11,30,0.367,17,17,1.0,5,32,26,9,6,16,18,-6,79.48,82.48,103.17060895822847,106.69253152279342,0.16356316054353295,1.0
2025,LAS,7,2025-05-30,0,LVA,L,81,96,31,66,0.47,7,24,0.292,12,19,0.632,10,38,18,6,0,18,19,32,70,0.457,12,25,0.48,20,23,0.87,6,30,22,12,7,10,16,-15,82.36,84.12,98.34871296745993,114.12268188302423,0.2185526954832443,1.0
2025,LAS,8,2025-06-01,1,PHO,L,80,85,26,71,0.366,8,35,0.229,20,25,0.8,12,38,17,11,3,13,25,26,64,0.406,12,29,0.414,21,24,0.875,7,38,22,7,2,12,22,-5,83.0,79.56,96.3855421686747,106.83760683760684,0.1566265060240964,1.0
2025,LAS,9,2025-06-06,0,DAL,W,93,79,35,63,0.556,9,24,0.375,14,19,0.737,6,30,24,9,5,14,15,31,73,0.425,6,20,0.3,11,11,1.0,13,35,24,6,5,15,18,14,79.36,79.84,117.1875,98.94789579158316,0.17641129032258066,1.0
2025,LAS,10,2025-06-09,1,GSV,L,81,89,28,72,0.389,6,25,0.24,19,25,0.76,6,34,23,8,4,13,23,32,80,0.4,5,32,0.156,20,23,0.87,17,49,20,8,5,13,25,-8,90.0,86.12,90.0,103.34417092429169,0.14444444444444443,1.0
2025,LAS,11,2025-06-11,0,LVA,W,97,89,33,58,0.569,9,20,0.45,22,27,0.815,4,38,24,5,1,15,26,27,72,0.375,9,35,0.257,26,29,0.897,9,28,12,8,4,9,24,8,80.88,84.76,119.93076162215628,105.0023596035866,0.185459940652819,1.0
