season,position,team,gp,w,l,win_percent,ppg,fgm,fga,fg_percent,3pt_m,3pt_a,threepoint_fg_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,pfd,3pt_pct,efg_pct,possessions,off_rating
2019,9,Indiana Fever,34,13,21,0.382,77.6,29.0,68.6,42.2,5.8,16.7,34.6,13.9,17.4,79.4,9.0,26.1,35.1,17.3,13.9,6.3,3.7,17.4,17.6,0.3473053892215569,0.46501457725947526,81.156,95.61831534328945
2019,10,Dallas WIngs,34,10,24,0.294,71.6,25.9,66.6,38.9,6.4,19.5,32.6,13.5,16.6,81.1,10.5,23.4,33.9,15.2,14.6,7.3,3.8,19.4,16.1,0.3282051282051282,0.4369369369369369,78.00399999999999,91.79016460694324
2019,11,New York Liberty,34,10,24,0.294,77.4,28.7,69.4,41.4,6.5,19.6,33.4,13.4,17.0,78.8,9.1,25.5,34.6,19.6,15.4,6.8,3.7,20.9,16.9,0.33163265306122447,0.4603746397694524,83.18000000000002,93.0512142341909
2019,12,Atlanta Dream,34,8,26,0.235,71.2,25.6,69.2,37.1,6.4,22.0,29.0,13.5,18.0,75.2,9.9,26.2,36.1,15.7,14.4,6.6,5.4,17.6,18.6,0.29090909090909095,0.4161849710982659,81.62,87.23352119578534
2018,1,Seattle Storm,34,26,8,0.765,87.2,32.1,68.7,46.8,9.0,24.0,37.6,13.9,17.2,80.7,8.4,27.1,35.4,21.2,13.4,7.8,4.4,16.4,16.3,0.375,0.5327510917030568,81.268,107.29930599990156
2018,2,Atlanta Dream,34,23,11,0.676,81.8,29.9,70.1,42.6,5.9,18.4,31.8,16.2,21.7,74.6,9.8,26.0,35.8,18.2,13.4,7.6,5.3,18.2,19.7,0.3206521739130435,0.46861626248216837,83.248,98.26061887372668
2018,3,Washington Mystics,33,21,12,0.636,84.5,30.5,68.0,44.8,8.4,23.4,35.8,15.2,17.7,85.8,8.6,24.0,32.6,17.8,12.2,7.2,3.8,18.4,17.5,0.35897435897435903,0.5102941176470589,79.388,106.43926034161333
2018,4,Connecticut Sun,34,21,13,0.618,87.6,33.6,72.2,46.6,7.6,20.7,36.7,12.7,17.0,74.8,11.0,25.9,36.9,19.6,13.5,7.2,3.0,19.4,17.6,0.3671497584541063,0.5180055401662049,82.18,106.59527865660743
2018,5,Phoenix Mercury,34,20,14,0.588,85.8,29.9,65.3,45.7,8.5,23.5,36.0,17.5,20.6,84.9,7.2,25.4,32.6,20.6,13.6,5.8,4.7,18.9,20.8,0.3617021276595745,0.5229709035222052,80.764,106.23545143875985
2018,6,Los Angeles Sparks,34,19,15,0.559,78.9,30.2,66.7,45.2,6.0,17.3,34.7,12.6,15.5,81.0,7.2,24.1,31.3,18.3,12.1,7.9,2.8,16.4,16.7,0.3468208092485549,0.49775112443778113,78.42,100.61208875286918
2018,7,Minnesota Lynx,34,18,16,0.529,78.9,30.4,67.4,45.1,5.4,15.6,34.6,12.9,16.5,77.9,8.9,26.3,35.3,19.6,14.2,6.9,2.9,16.6,17.4,0.3461538461538462,0.49109792284866466,79.96000000000001,98.67433716858429
2018,8,Dallas WIngs,34,15,19,0.441,86.6,30.5,69.1,44.1,6.7,22.1,30.5,18.9,23.9,79.1,10.6,26.1,36.6,18.1,14.1,6.7,4.6,18.6,20.6,0.3031674208144796,0.4898697539797396,83.116,104.19173203715289
2018,9,Las Vegas Aces,33,14,19,0.424,84.4,31.3,70.7,44.2,3.8,10.9,34.6,18.1,23.5,77.1,9.4,27.5,36.8,20.2,12.8,6.3,3.9,17.7,20.1,0.34862385321100914,0.4695898161244696,84.44,99.95262908574136
2018,10,Chicago Sky,34,13,21,0.382,83.8,31.0,68.5,45.3,7.2,19.7,36.4,14.5,18.2,79.8,8.2,24.9,33.1,21.2,15.4,6.7,3.9,18.5,17.8,0.3654822335025381,0.5051094890510949,83.708,100.10990586323886
2018,11,New York Liberty,34,7,27,0.206,77.7,29.4,68.1,43.2,6.6,21.0,31.7,12.1,15.9,76.3,8.6,25.5,34.1,19.5,14.7,6.6,2.7,20.7,17.0,0.3142857142857143,0.48017621145374445,81.196,95.69436918074783
2018,12,Indiana Fever,34,6,28,0.176,76.4,28.9,71.0,40.6,5.6,17.4,32.5,13.0,16.1,81.0,8.9,24.1,33.0,16.0,12.1,6.4,2.7,18.6,17.1,0.3218390804597701,0.44647887323943664,81.28399999999999,93.99143742926039
